,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_8,3.9500656127929688,4.0,5.0,6.0,7.0,8.0,9.0
execution_2_case_0_patient_8,4.293060302734375,4.0,5.0,6.0,7.0,8.0,9.0
execution_3_case_0_patient_8,4.388762950897217,4.0,5.0,6.0,7.0,8.0,9.0
execution_4_case_0_patient_8,3.838519811630249,4.0,5.0,6.0,7.0,8.0,9.0
execution_5_case_0_patient_8,4.2993974685668945,4.0,5.0,6.0,7.0,8.0,9.0
execution_6_case_0_patient_8,3.840867280960083,4.0,5.0,6.0,7.0,8.0,9.0
execution_7_case_0_patient_8,3.982426166534424,4.0,5.0,6.0,7.0,8.0,9.0
execution_8_case_0_patient_8,4.0992913246154785,4.0,5.0,6.0,7.0,8.0,9.0
execution_9_case_0_patient_8,3.9373779296875,4.0,5.0,6.0,7.0,8.0,9.0
execution_10_case_0_patient_8,3.917952537536621,4.0,5.0,6.0,7.0,8.0,9.0
mean_10_case_0_patient_8,4.054772138595581,4.0,5.0,6.0,7.0,8.0,9.0
min_10_case_0_patient_8,3.838519811630249,4.0,5.0,6.0,7.0,8.0,9.0
max_10_case_0_patient_8,4.388762950897217,4.0,5.0,6.0,7.0,8.0,9.0
