,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_6,3.59206485748291,4.0,5.0,6.0,7.0,8.0,9.0
execution_2_case_0_patient_6,4.310610294342041,4.0,5.0,6.0,7.0,8.0,9.0
execution_3_case_0_patient_6,3.7197046279907227,4.0,5.0,6.0,7.0,8.0,9.0
execution_4_case_0_patient_6,3.7606446743011475,4.0,5.0,6.0,7.0,8.0,9.0
execution_5_case_0_patient_6,4.11789083480835,4.0,5.0,6.0,7.0,8.0,9.0
execution_6_case_0_patient_6,4.167966842651367,4.0,5.0,6.0,7.0,8.0,9.0
execution_7_case_0_patient_6,3.871737003326416,4.0,5.0,6.0,7.0,8.0,9.0
execution_8_case_0_patient_6,4.3358845710754395,4.0,5.0,6.0,7.0,8.0,9.0
execution_9_case_0_patient_6,3.6349809169769287,4.0,5.0,6.0,7.0,8.0,9.0
execution_10_case_0_patient_6,3.8337724208831787,4.0,5.0,6.0,7.0,8.0,9.0
mean_10_case_0_patient_6,3.93452570438385,4.0,5.0,6.0,7.0,8.0,9.0
min_10_case_0_patient_6,3.59206485748291,4.0,5.0,6.0,7.0,8.0,9.0
max_10_case_0_patient_6,4.3358845710754395,4.0,5.0,6.0,7.0,8.0,9.0
