,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_7,1.0105862617492676,0.6990930438041687,0.6127117872238159,0.7253293991088867,0.882225751876831,0.7319521903991699,0.7110097408294678
execution_2_case_0_patient_7,1.0971375703811646,0.8478922843933105,0.6374829411506653,0.7041732668876648,0.6368430256843567,1.0647469758987427,0.6927481293678284
execution_3_case_0_patient_7,1.6588973999023438,1.0208145380020142,0.5774734020233154,1.265866756439209,0.5960191488265991,0.6701280474662781,0.6716670393943787
execution_4_case_0_patient_7,0.7968156933784485,0.8135066032409668,0.6208295226097107,0.5099141001701355,0.8116318583488464,0.6548939347267151,0.7207687497138977
execution_5_case_0_patient_7,1.126159906387329,0.9077056050300598,0.5868766903877258,0.7521907687187195,0.6506516337394714,0.7152515053749084,0.6222352385520935
execution_6_case_0_patient_7,1.7284213304519653,0.6466265320777893,1.2200732231140137,1.0341341495513916,0.580511748790741,1.0792495012283325,0.8012020587921143
execution_7_case_0_patient_7,1.1870663166046143,0.7715403437614441,0.9320818781852722,1.0323117971420288,0.6403703689575195,0.7193451523780823,0.9075987339019775
execution_8_case_0_patient_7,1.4807252883911133,0.706125020980835,0.7375588417053223,0.9481574892997742,0.5670157074928284,0.836158275604248,0.6992507576942444
execution_9_case_0_patient_7,1.8435649871826172,0.573407769203186,0.5070955157279968,0.7843361496925354,0.7399473786354065,0.8544201850891113,0.5864925384521484
execution_10_case_0_patient_7,1.551282525062561,0.8654912114143372,0.6092859506607056,1.223490834236145,0.6266573071479797,0.8447181582450867,0.7021827697753906
mean_10_case_0_patient_7,1.3480657279491424,0.7852202951908112,0.7041469752788544,0.897990471124649,0.673187392950058,0.8170863926410675,0.7115155756473541
min_10_case_0_patient_7,0.7968156933784485,0.573407769203186,0.5070955157279968,0.5099141001701355,0.5670157074928284,0.6548939347267151,0.5864925384521484
max_10_case_0_patient_7,1.8435649871826172,1.0208145380020142,1.2200732231140137,1.265866756439209,0.882225751876831,1.0792495012283325,0.9075987339019775
