picture,description,calories,balance,quality
"001.jpg","Pasta with champignons and parmesan cheesse",637,"Balance","Good quality"
"002.jpg","Salad with olive oil ",88,"Unbalance","Good quality"
"003.jpg","Pasta with champignons and parmesan cheesse",637,"Balance","Good quality"
"004.jpg","Nothing",,,
"005.jpg","Pumpkin soup",93,"Unbalance","Good quality"
"006.jpg","Sausages with salad and potatoes chips",1059,"Unbalance","Medium quality"
"007.jpg","Soup,Salmon pastry,grilled vegestables, boiled potatoes and pumpkin pay",1678,"Unbalance","Medium quality"
"008.jpg","Salmon pastry, spinach and potatoes",848,"Unbalance","Good quality"
"009.jpg","Pumpkin pay",486,"Unbalance","Low quality"
"010.jpg","Nothing",,,
"011.jpg","Spaguetti with ragûot and bolognese sauce",687,"Unbalance","Low quality"
"012.jpg","Bread and natural yogurt",224,"Balance","Medium quality"
"013.jpg","Ragoût beef and frites natural potatoes ",476,"Unbalance","Low quality"
"014.jpg","Batata",86,"Unbalance","Good quality"
"015.jpg","Natural yogurt and cheerios cereal",490,"Unbalance","Low quality"
"016.jpg","Bread",262,"Unbalance","Medium quality"
"017.jpg","Bread",262,"Unbalance","Medium quality"
"018.jpg","Spaguetti, roast chicken and batata",566,"Unbalance","Medium quality"
"019.jpg","Hawaiian Pizza and vegetables pizza",635,"Unbalance","Low quality"
"020.jpg","Natural yogurt and cheerios cereal",490,"Unbalance","Low quality"
