Patient 001,score_patient_001_exp_3,score_patient_002_exp_3,score_patient_004_exp_3,score_patient_006_exp_3,score_patient_007_exp_3,score_patient_008_exp_3
execution_1_case_0_try_number_3,0.27713045477867126,0.41232195496559143,1.0399810075759888,0.3687100112438202,0.6127117872238159,0.5648938417434692
execution_2_case_0_try_number_3,0.28583160042762756,0.337728887796402,0.9618350267410278,0.9339886903762817,0.6374829411506653,0.5414758920669556
execution_3_case_0_try_number_3,0.3121626675128937,0.4726317822933197,1.0027967691421509,0.3783716559410095,0.5774734020233154,0.5388772487640381
execution_4_case_0_try_number_3,0.3078952133655548,0.3139227628707886,0.9841416478157043,0.6967769861221313,0.6208295226097107,0.5772389769554138
execution_5_case_0_try_number_3,0.2669695317745209,0.4037119746208191,0.9636569619178772,0.6924736499786377,0.5868766903877258,0.7169997096061707
execution_6_case_0_try_number_3,0.33755841851234436,0.4148508608341217,0.9876984357833862,0.4404189884662628,1.2200732231140137,0.6291372776031494
execution_7_case_0_try_number_3,0.3584713637828827,0.33207228779792786,0.9976835250854492,0.6802087426185608,0.9320818781852722,0.5505144000053406
execution_8_case_0_try_number_3,0.304134339094162,0.41693758964538574,1.0320079326629639,0.31717154383659363,0.7375588417053223,0.5062970519065857
execution_9_case_0_try_number_3,0.285069078207016,0.350882887840271,0.96662437915802,0.38270846009254456,0.5070955157279968,0.46396517753601074
execution_10_case_0_try_number_3,0.2916760742664337,0.46069321036338806,0.9901108145713806,0.33357903361320496,0.6092859506607056,0.5941324830055237
