Patient 001,score_patient_001_exp_4,score_patient_002_exp_4,score_patient_004_exp_4,score_patient_006_exp_4,score_patient_007_exp_4,score_patient_008_exp_4
execution_1_case_0_try_number_4,0.2850255072116852,0.44097450375556946,0.9517180919647217,0.39135491847991943,0.7253293991088867,1.0181173086166382
execution_2_case_0_try_number_4,0.3607073724269867,0.3529658913612366,0.9113702774047852,0.4298902153968811,0.7041732668876648,0.5575371980667114
execution_3_case_0_try_number_4,0.494045227766037,0.3953694999217987,0.9426219463348389,0.5647918581962585,1.265866756439209,0.6148841381072998
execution_4_case_0_try_number_4,0.22219857573509216,0.4778388440608978,0.8237995505332947,0.44850441813468933,0.5099141001701355,0.672694981098175
execution_5_case_0_try_number_4,0.29405105113983154,0.3936471939086914,0.858737051486969,0.3043282628059387,0.7521907687187195,0.6970235705375671
execution_6_case_0_try_number_4,0.2912484109401703,0.5259420275688171,0.949845016002655,0.3191496431827545,1.0341341495513916,0.6414334177970886
execution_7_case_0_try_number_4,0.28363683819770813,0.38379666209220886,0.7455067038536072,0.3905161917209625,1.0323117971420288,0.43619248270988464
execution_8_case_0_try_number_4,0.3483298122882843,0.41798096895217896,0.9634755253791809,0.33619052171707153,0.9481574892997742,0.5916187167167664
execution_9_case_0_try_number_4,0.2184436023235321,0.31370365619659424,0.72613924741745,0.38071927428245544,0.7843361496925354,0.6094700694084167
execution_10_case_0_try_number_4,0.27602383494377136,0.36429563164711,0.8036191463470459,0.3887110948562622,1.223490834236145,0.689943790435791
