picture,description,calories,balance,quality
"001.jpg","Cantaloupe and couscous",375,"Unbalance","Good quality"
"002.jpg","Tomatoes salad with feta and bread",1137,"Unbalance","Good quality"
"003.jpg","Hamburguer, zuchinni and red wine",434,"Unbalance","Good quality"
"004.jpg","Wholegrain bread and milkchocolate",304,"Unbalance","Medium quality"
"005.jpg","wienerschnitzel, potatoes, coliflower, carrots, bread and beer",1691,"Unbalance","Medium quality"
"006.jpg","Wholegrain bread, butter and coffee",314,"Unbalance","Good quality"
"007.jpg","Wholegrain bread with flaxseeds",183,"Unbalance","Good quality"
"008.jpg","Farmer cerealbar and sinergy pills",420,"Unbalance","Low quality"
"009.jpg","Lasagne, wine and chocolate ",919,"Unbalance","Low quality"
"010.jpg","Wholegrain bread, brie cheese and kiwi and coffee",433,"Balance","Good quality"
"011.jpg","Couscous, watermelon and tomato salad and ham with bread",1193,"Unbalance","Good quality"
"012.jpg","Chocolate and coffee",356,"Unbalance","Medium quality"
"013.jpg","Sinergy pills and olive crackers",303,"Unbalance","Low quality"
"014.jpg","Vegetable soup,black bread and ham. m&m package and wine",540,"Balance","Low quality"
"015.jpg","Crackers",394,"Unbalance","Low quality"
"016.jpg","Salad with fried goat cheese ",735,"Unbalance","Good quality"
"017.jpg","Wholegrain bread with kiwi and coffee",163,"Unbalance","Good quality"
"018.jpg","Croissant and chocolate",206,"Unbalance","Low quality"
"019.jpg","Cracker and spiral bread",380,"Unbalance","Low quality"
"020.jpg","Cantaloupe with ham and pink wine",193,"Unbalance","Good quality"
"021.jpg","Pork with potatoes pure and sauce with harricots and ham",795,"Unbalance","Medium quality"
"022.jpg","Stracciatela and caramel  icre cream",555,"Unbalance","Low quality"
"023.jpg","Lasagne and carrots with wine",555,"Unbalance","Low quality"
