,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_1,0.42610055208206177,0.5706229209899902,0.27713045477867126,0.2850255072116852,0.26016566157341003,0.2165284901857376,0.23520147800445557
execution_2_case_0_patient_1,0.4896547794342041,0.35258960723876953,0.28583160042762756,0.3607073724269867,0.27220267057418823,0.23462146520614624,0.2677515745162964
execution_3_case_0_patient_1,0.3648485541343689,0.29603663086891174,0.3121626675128937,0.494045227766037,0.27504709362983704,0.23384051024913788,0.26074331998825073
execution_4_case_0_patient_1,0.5853078961372375,0.2506745159626007,0.3078952133655548,0.22219857573509216,0.2543336749076843,0.237696573138237,0.2533927261829376
execution_5_case_0_patient_1,0.44839972257614136,0.28800156712532043,0.2669695317745209,0.29405105113983154,0.39619389176368713,0.29336392879486084,0.2711997330188751
execution_6_case_0_patient_1,0.4459611773490906,0.2740956246852875,0.33755841851234436,0.2912484109401703,0.21984803676605225,0.31064486503601074,0.2935838997364044
execution_7_case_0_patient_1,0.5859516859054565,0.33644360303878784,0.3584713637828827,0.28363683819770813,0.2681117653846741,0.3022259771823883,0.30501991510391235
execution_8_case_0_patient_1,0.48295077681541443,0.26873186230659485,0.304134339094162,0.3483298122882843,0.24838079512119293,0.2655254304409027,0.36364784836769104
execution_9_case_0_patient_1,0.3934839069843292,0.25385409593582153,0.285069078207016,0.2184436023235321,0.2705371081829071,0.28063079714775085,0.32350537180900574
execution_10_case_0_patient_1,0.3039865791797638,0.5118412971496582,0.2916760742664337,0.27602383494377136,0.23663493990898132,0.24703961610794067,0.29254335165023804
mean_10_case_0_patient_1,0.45266456305980685,0.34028917253017427,0.3026898741722107,0.30737102329730986,0.2701455637812614,0.2622117653489113,0.2866589218378067
min_10_case_0_patient_1,0.3039865791797638,0.2506745159626007,0.2669695317745209,0.2184436023235321,0.21984803676605225,0.2165284901857376,0.23520147800445557
max_10_case_0_patient_1,0.5859516859054565,0.5706229209899902,0.3584713637828827,0.494045227766037,0.39619389176368713,0.31064486503601074,0.36364784836769104
