Patient 001,score_patient_001_exp_2,score_patient_002_exp_2,score_patient_004_exp_2,score_patient_006_exp_2,score_patient_007_exp_2,score_patient_008_exp_2
execution_1_case_0_try_number_2,0.5706229209899902,0.4435496926307678,1.0953046083450317,0.33828651905059814,0.6990930438041687,0.6514511108398438
execution_2_case_0_try_number_2,0.35258960723876953,0.37262991070747375,0.839979887008667,0.3287781774997711,0.8478922843933105,0.47711682319641113
execution_3_case_0_try_number_2,0.29603663086891174,0.654402494430542,0.8706639409065247,0.3559037446975708,1.0208145380020142,0.5434391498565674
execution_4_case_0_try_number_2,0.2506745159626007,0.3745381534099579,0.9778382778167725,0.3907153606414795,0.8135066032409668,0.5699027180671692
execution_5_case_0_try_number_2,0.28800156712532043,0.47901058197021484,0.834098756313324,0.3701687753200531,0.9077056050300598,0.5893770456314087
execution_6_case_0_try_number_2,0.2740956246852875,0.46455812454223633,0.9217090606689453,0.3307993412017822,0.6466265320777893,0.5967311263084412
execution_7_case_0_try_number_2,0.33644360303878784,0.4294041395187378,0.9784419536590576,0.5280722975730896,0.7715403437614441,0.5512659549713135
execution_8_case_0_try_number_2,0.26873186230659485,0.3911948800086975,0.9508206844329834,0.5172030329704285,0.706125020980835,0.6892209649085999
execution_9_case_0_try_number_2,0.25385409593582153,0.42684271931648254,0.8322063684463501,0.28838253021240234,0.573407769203186,0.723946750164032
execution_10_case_0_try_number_2,0.5118412971496582,0.5084705948829651,0.7970129251480103,0.4221384823322296,0.8654912114143372,0.5932254195213318
