,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_2,0.4874277114868164,0.4435496926307678,0.41232195496559143,0.44097450375556946,0.3507786691188812,0.3741849660873413,0.42359140515327454
execution_2_case_0_patient_2,0.9094048142433167,0.37262991070747375,0.337728887796402,0.3529658913612366,0.35020673274993896,0.3922313153743744,0.3204924166202545
execution_3_case_0_patient_2,0.7057930827140808,0.654402494430542,0.4726317822933197,0.3953694999217987,0.4169636070728302,0.4155253767967224,0.37372907996177673
execution_4_case_0_patient_2,1.059074878692627,0.3745381534099579,0.3139227628707886,0.4778388440608978,0.4452946186065674,0.44094154238700867,0.3711843490600586
execution_5_case_0_patient_2,1.121008038520813,0.47901058197021484,0.4037119746208191,0.3936471939086914,0.4232243597507477,0.3781982958316803,0.4119938910007477
execution_6_case_0_patient_2,0.8134551644325256,0.46455812454223633,0.4148508608341217,0.5259420275688171,0.396234393119812,0.5480616092681885,0.5052922964096069
execution_7_case_0_patient_2,0.6047909259796143,0.4294041395187378,0.33207228779792786,0.38379666209220886,0.34382250905036926,0.40312260389328003,0.40330803394317627
execution_8_case_0_patient_2,0.8554845452308655,0.3911948800086975,0.41693758964538574,0.41798096895217896,0.4319489896297455,0.40761780738830566,0.3942325711250305
execution_9_case_0_patient_2,0.9273950457572937,0.42684271931648254,0.350882887840271,0.31370365619659424,0.36423707008361816,0.4725065231323242,0.3715568482875824
execution_10_case_0_patient_2,0.692267656326294,0.5084705948829651,0.46069321036338806,0.36429563164711,0.37986087799072266,0.4145193099975586,0.33794909715652466
mean_10_case_0_patient_2,0.8176101863384246,0.45446012914180756,0.39157541990280154,0.4066514879465103,0.3902571827173233,0.4246909350156784,0.3913329988718033
min_10_case_0_patient_2,0.4874277114868164,0.37262991070747375,0.3139227628707886,0.31370365619659424,0.34382250905036926,0.3741849660873413,0.3204924166202545
max_10_case_0_patient_2,1.121008038520813,0.654402494430542,0.4726317822933197,0.5259420275688171,0.4452946186065674,0.5480616092681885,0.5052922964096069
